Marca temporal,Día,Mes
26/08/2021 11:52:31,2,1
26/08/2021 11:52:42,13,2
26/08/2021 11:52:27,1,3
26/08/2021 11:52:35,3,3
26/08/2021 11:52:40,5,3
26/08/2021 11:52:44,6,3
26/08/2021 11:52:43,7,3
26/08/2021 11:52:28,22,3
26/08/2021 11:52:25,27,3
26/08/2021 11:52:52,28,3
26/08/2021 11:52:18,11,4
26/08/2021 11:52:26,12,4
26/08/2021 11:52:30,29,4
26/08/2021 11:52:56,14,5
26/08/2021 11:52:56,14,5
26/08/2021 11:52:43,22,5
26/08/2021 11:52:28,19,6
26/08/2021 11:52:46,29,6
26/08/2021 11:52:46,6,7
26/08/2021 11:52:27,7,7
26/08/2021 11:52:22,12,7
26/08/2021 11:52:22,12,7
26/08/2021 11:52:46,13,7
26/08/2021 11:52:24,20,7
26/08/2021 11:52:22,31,7
26/08/2021 11:52:40,6,8
26/08/2021 11:52:43,24,9
26/08/2021 11:52:28,30,9
26/08/2021 11:52:39,4,10
26/08/2021 11:52:16,8,10
26/08/2021 11:52:45,19,10
26/08/2021 11:52:17,11,11
26/08/2021 11:52:51,29,11
26/08/2021 11:52:22,2,12
26/08/2021 11:52:47,21,12
